chapter	verse	consонantal
15	11	אל תאמר מאל פשעי כי את אשר שנא לא עשה
15	12	פן תאמר הוא התקילני כי אין צרך באנשי חמס
15	13	רעה ותועבה שנא יהוה ולא יאננה ליראיו
15	14	אלהים מבראשית ברא אדם וישיתהו ביד חותפו ויתנהו ביד יצרו
15	15	אם תחפץ תשמר מצוה ותבינה לעשות רצונו טו אם תאמין בו גם אתה תחיה
15	16	מוצק לפניך אש ומים באשר תחפץ שלח ידיך
15	17	לבני אדם חיים ומות אשר יחפץ ינתן לו
15	18	ספקה חכמת יהוה אמיץ גבורות וחוזה כל
15	19	עיני אל יראו מעשיו והוא יכיר כל מפעל איש
15	20	לא צוה אנוש לחטא ולא החלים אנשי כזב כ ולא מרחם על עשה שוא ועל מגלה סוד
16	1	אל תתאוה תאר נערי שוא ואל תשמח בבני עולה
16	2	וגם אם פרו אל תבע בם אם אין אתם יראת יהוה
16	3	אל תאמין בחייהם ואל תבטח בעקבותם ג כי לא תהיה להם אחרית טובה ג כי טוב אחד עושה רצון מאלף ומות ערירי ממי שהיו לו בנים רבים בעולה ומאחרית זדון
16	4	מאחד ערירי ירא יהוה תשב עיר וממשפחת בגדים תחרב
16	5	רבות כאלה ראתה עיני ועצמות כאלה שמעה אזני
16	6	בעדת רשעים יוקדת אש ובגוי חנף נצתה חמה
16	7	אשר לא נשא לנסיכי קדם המורים עולם בגבורתם
16	8	ולא חמל על מגורי לוט המתעברים בגאותם
16	9	ולא חמל על גוי חרם הנדושים בעונם
16	10	כן שש מאות אלף רגלי הנאספים בזדון לבם
16	11	ואף כי אחד מקשה ערף תמה זה אם ינקה יא כי רחמים ואף עמו ונושא וסולח ועל רשעים יניח רגזו
16	12	כרב רחמיו כן תוכחתו איש כמפעליו ישפט
16	13	לא ימלט בגזל עול ולא ישבית תאות צדיק לעולם
16	14	כל העשה צדקה יש לו שכר
16	15	יהוה הקשה את לב פרעה אשר לא ידעו שמעשיו מגלין תחת השמים
16	16	רחמיו יראו לכל בריותיו ואורו ושבחו חלק לבני אדם
16	17	אל תאמר מאל נסתרתי ובמרום מי יזכרני יז בעם כבד לא אודע ומה נפשי כקצות רוחות כל בני אדם
16	18	הן השמים ושמי השמים ותהום וארץ יח ברדתו עליהם עומדים בפקדו כן ירגשו
16	19	אף קצבי הרים ויסודי תבל בהביטו אליהם רעש ירעשו
16	20	גם עלי לא ישים לב ובדרכי מי יתבונן
16	21	אם חטאתי לא תראני עין או אם אכזב בכל סתר מי יודע
16	22	מה מעשה צדק מי יגידנו ותקות מה כי אצוק חוק
16	23	חסרי לב יבינו אלה וגבר פותה יחשב זאת
16	24	שמעו אלי וקחו שכלי ועל דברי שימו לב
16	25	אביעה במשקל רוחי ובהצנע אחוה דעי
16	26	כברא אל מעשיו מראש על חייהם חלק משטרם
18	16	בטרם תדור הכן נדרך בל תהיה כמנסה יהוה
18	32	אל תשמח אל שמץ תענוג אשר פי שנים רישו
18	33	אל תהי זולל וסובא ומאומה אין בכים
19	1	פועל זאת לא יעשיר ובוזה מעוטים יתערער
19	2	יין ונשים יפחיזו לב ונפש עזה תשחית בעליה
20	5	יש מחריש ונחשב חכם ויש נמאס ברוב שיח
20	6	יש מחריש מאין מענה ויש מחריש כי ראה עת
20	7	חכם יחריש עד עת וכסיל לא ישמור עת
20	13	חכם במעט דבר נפשו וטובת כסילים ישפוך חכמה
21	1	שלשה שנאתי וארבעה לא אהבתי
21	2	שר הנרגל בבית המשתאות המושיב שבת במרומי קרת
21	3	האוחז באמה ומשתין מים והנכנס לבית חברו פתאום
21	22	רגל נבל מהרה אל בית ואיש מזימות יכניע לרבים
21	23	אויל מפתח יביט אל בית וכבוד לאיש בחוץ יעמוד וידבר
25	2	שלש הנה שנאה נפשי וצר לי מאד בחייהם
25	3	דל גאה ועשיר מכחש וזקן מנאף וחסר דעת
25	5	אם בנערותיך לא חפצתם איך תשיגם בזקנותיך
25	8	אשרי שלא נכשל בלשונו ולא עבד נקלה ממנו
25	11	אשרי בעל אשה משכלת ולא חורש בשור ובחמור יחדו
25	13	כל מכה ולא כמכת הלב כל רעה ולא כרעת אשה
25	17	רע אשה ישחיר מראה איש ויקדיר פניו לדוב
25	18	בין רעים ישב בעלה ובלא טעמו יתאנח
25	19	מעט רעה כרעת אשה גורל חוטא יפול עליה
25	20	כמעלה חוץ לרגלי ישיש כן אשת לשון לאיש רך
25	21	אל תפול ביפי אשה ועל יש לה לא תחמוד
25	22	כי בעדה חרפה ובשת אשה מכלכלת את בעלה
25	23	רפיון ידים וכשלון ברכים אשה לא תאשר את בעלה
25	24	מאשה תחלת עון ובגללה גוענו יחד
25	25	אשה רעה צרעת לבעלה יגרשנה מביתו ויתרפא מצרעתו
26	1	אשה טובה אשרי בעלה ומספר ימיו כפלים
26	2	אשת חיל תדשן לבעלה ושני חייו יבלה בנעימים
26	3	אשה טובה מתנה טובה בחיק ירא אלהים תנתן
27	5	כלי יוצר לבער כבשן וכמהו איש על חשבונו
27	6	על עבדת עץ יהי פרי כן חשבון על יצר אחד
28	1	אל תצר צרת מחר כי לא תדע מה ילד יום
28	2	שמא מחר בא ואיננו נמצא מצטער על העולם שאינו שלו
28	3	הכל שקלתי בכף מאזנים ולא מצאתי קל מסבין
28	4	וקל מסבין חתן הדר בבית חמיו
28	5	וקל מחתן ארח מכניס ארח
28	6	וקל מארח משיב דבר בטרם ישמע
28	12	היתה לפניו גחלת נפח בה ובערה
28	13	רקק בה וכבתה ושניהם מפיך הם
30	9	יסר בנך לבל תבוש ואם תשחק עמו יכלימך
30	11	אל תמשילהו בנעוריו ואל תשא לשחיתותיו
30	12	כוף ראשו בנערותו ובקע מתניו כשהוא קטן יב למה ישקה ומרה בך ונולד ממנו מפח נפש
30	13	יסר בנך והכבד עולו פן באולתו יבלע בך
30	14	טוב מסכן וחי בעצמו מעשיר ונגע בבשרו
30	15	חיי שר איביתי מפז ורוח טובה מפנינים
30	16	אין עושר על עושר שר עצם ואין טובה על טוב לבב
30	17	טוב למות מחיי שוא ונוחת עולם מכאב נאמן
30	18	טובה שפוכה על פה סתום תנופה מצגת לפני גלול
30	19	מה יעריכו לאלילי הגוים אשר לא יאכלון ולא יריחון
30	20	כן מי שיש לו עושר ואין נהנה ממנו
30	21	ראה בעיניו ומתאנח כאשר סריס יחבק נערה
30	22	כנאמן לן עם בתולה כן עושה באונס משפט ויהוה מבקש מידו
30	23	אל תתן לדין נפשך ואל תכשל בעונך
30	24	שמחת לב הם חיי איש וגיל אדם האריך אפו
30	25	פוג נפשך ופיג לבך וקצפון הרחק ממך
30	26	כי רבים הרג דין ואין תעלה בקצפון
30	27	קנאה ודין יקצרו ימים ובלא עת תזקין דאגה
30	28	שנות לב טוב תחת מטעמים ומאכלו יעלה עליו
31	1	שקר עשיר ימחה שארו דאגת מחיה תפריע נומה
31	2	דאגת מחיה תפריע נומה ומחלי חזק תפריע נומה ב רע נאמן תניד חרפה ומסתיר סוד אוהב כנפש
31	3	עמלי עשיר לקבץ הון ואם ינוח לקבל תענוג
31	4	יגע עני לחסר ביתו ואם ינוח יהיה צריך ד עמל עני לחסר כחו ואם ינוח לא נחה לו
31	5	רודף חרוץ לא ינקה ואוהב מחיר בו ישגה
31	6	רבים היו חבולי זהב והבוטח על פנינים ו ולא מצאו להנצל מרעה וגם להושע ביום עברה
31	7	כי תקלה הוא לאויל וכל פותה יוקש בו
31	8	אשרי איש נמצא תמים ויחר ממון לא נלוז
31	9	מי הוא זה ונאשרנו כי הפליא לעשות בעמו
31	10	מי הוא זה שנדבק בו והיה לו שלום והיה לו תפארה י כי ברבות שלום חייו יהיה לך לתפארת
31	11	מי ברכו וישלם בחייו הוא לך לתפארת י מי יוכל לסור ולא סר ולהרע רעה ולא אבה
31	12	על כן חזק טובו ותהלתו יספר קהל מוסר לחם ויין יחדו
31	13	בני אם על שלחן גדול ישבת אל תפתח עליו גרנך
31	14	אל תאמר ספוק עליו זכור כי רעה עין רעה
31	15	רע עין שונא אל ורע ממנו לא ברא
31	16	כי זה מפני כל דבר תזוע עין ומפנים דמעה תדמע
31	17	רע מעין לא חלק אל על כן מפני כל נם לחה יז מקום יביט טל תושיט יד ואל תחד עמו בטנא
31	18	דעה רעך כנפשך ובכל ששנאת התבונן
31	19	הסב כאיש אשר נבחר ואל תעט פן תגעל
31	20	דע שרעך איש כמוך ואכול דבר ששם לפניך
31	21	חדל ראשון בעבור מוסר ולא תהיה גרגרן פן תמאס
31	22	וגם אם בין רבים ישבת לפני רע אל תושיט יד
31	23	הלא די אנוש נבון מזער ועל יצועיו לא ישיק
31	24	מכאוב ונדד ישנה ומער ותשניק ופני הפוכות עם איש כסיל
31	25	שנות חיים על קרב תולל וקם בבקר ונפשו אתו
31	26	שנות חיים עם איש נבון ילין עד בקר ונפשו עמו
31	27	ואם יפצירו בך לאכול סור מן הסבה ותמצא נחת
31	28	בכל מעשיך היה צנוע וכל אסון לא יגע בך
31	29	וגם אם נאנסתה במטעמים קוה קוה וינוח לך
31	30	שמע בני ואל תבוז לי ובאחרית תשיג אמרי
31	31	שמע בני וקח אמרי ואל תלעיז עליי ובאחרית תמצא דברי
31	32	טוב על לחם תברך שפה עדות טובו נאמנה
31	33	רע על לחם ירגז בשער רעת רועו נאמנה
31	34	וגם על היין אל תתגבר כי רבים הכשיל תירוש
31	35	כור בוחן מעשה לוטש כן היין למצות לצים
31	36	נבון בוחן מעשה מעשה כן שכר לריב לצים
31	37	למי היין חיים לאנוש אם ישתנו במכתנתו
31	38	מה חיים חסר היין שהוא מראשית לשמחה נוצר
31	39	שמחת לב וששון ועדון יין נשתה בעתו וראי
31	40	חיי מה לחסר תירוש והוא לגיל נחלק מראש
31	41	כאב ראש לענה וקלון יין נשתה בתחרה וכעס
31	42	מרבה חמר לכסיל מוקש מחסר כח ומספיק פצע
31	45	במשתה היין אך תוכח רע ואל תבוזהו בשמחתו
31	46	דבר חרפה אל תאמר לו ולא תנצח אתו לעיני בני אדם
32	1	ראש נבחרת אל תתרומם ובראש גדולים אל תשב א היה להם כאחד מהם דאג להם ואחר תסב הכן מרכם ואחר תרבץ
32	2	למען תשמח בכבודם ועל מוסר תשא שכר
32	3	מלל שב כי הוא לך והצנא שכל ואל תמנע שיר
32	4	במקום היין אל תשפוך שיח ובלא מזמור מה תשפוך שיר ובל עת מה תתחכם ד כחותם על כיס זהב שיר אל על משתה היין
32	5	כזמן אודם על ניב זהב משפט שיר על משתה היין ה כרביד זהב ובו נפך וספיר כך נאים דברים יפים על משתה היין
32	6	מלואות פז וחותם ברקת קול מזמור על נועם תירוש
32	7	דבר נער אם צריך אתה בחזק פעמים ושלש אם ישאלך
32	8	כל לאמר ומעט הרבה ודמה ליודע ומחריש יחדו
32	9	בין זקנים אל תתקומם ושרים אל תרב לטרד ט לפני ברד ינצח ברק ולפני דכא ינצח חן
32	10	לפני ברד ינצח ברק ולפני בוש ינצח חן
32	11	בעת שלחן אל תרבה דברים ואם עלה על לבך דבר יא בעת מפקד אל תתאחר פטר לביתך ושלם רצון
32	12	ושלם רצון ביראת אל ולא בחסר כל
32	13	ועל כל אלה ברך עושך המרוך מטובתו יג דורש אל יקוה רצון ומתלהלה יוקש בו
32	14	דורש אל יקח מוסר ומשחרהו ישיג מענה יד דורש חפצי אל יקח לקח ויענהו בתפלתו
32	15	דורש תורה יפיקנה ומתלהלה יוקש בו
32	16	ירא יהוה יבין משפט ותחבולום מנשף יוציא טז יראי יהוה יבינו משפטו ובחכמות רבות יוציאו מלבם
32	17	איש חכם יטה תוכחות ואחר צרכו ימשך נפתה יז איש חכם לא יכסה כחמה ולץ לא ישמר לשונו
32	18	איש חכם לא יקח שחד זד ולץ לא ישמור תורה
32	19	איש חמס לא יקח שכל וזד לץ לא יקח מצוה יט בלא עצה אל תפעל דבר ואחר מעשיך אל תתקצף
32	20	בדרך מוקשות אל תלך ואל תתקל בנגף פעמים
32	21	אל תבטח בדרך מחתף ובאחריתך השמר
32	22	אל תבטח בדרך רשעים ובארחותיך הזהר כב בכל דרכיך שמור נפשך כי כל עושה אלה שומר מצוה
32	23	בכל מעשיך שמור נפשך כי עושה זה שומר מצוה
32	24	נוצר תורה שומר נפשו ובוטח ביהוה לא יבוש
33	1	ירא יהוה לא יפגע רע כי אם בנוסו שב ונמלט
33	2	לא יחכם שונא תורה ומתמוטט במסער כאניה
33	3	איש נבון יבין דבר יהוה ותורתו כאורים בחשן
34	5	בעין טובה תן לדל ולא תקצף בתתך לו
34	9	בכל מעשיך האר פנים ובששון הקדש מעשר
34	10	תן לו כמתנתו לך בטוב עין ובהשיגת יד
34	11	כי אלה תשלומות הוא ושבעתים ישיב לך יא מלוה יהוה נותן לאביון ומי בעל גמולות כי אם הוא
34	12	אל תשחד כי לא יקח ואל תבטח על זבח מעשק יב כי אלהי משפט הוא ואין עמו משוא פנים
34	13	לא ישא פנים אל דל ותחנוני מצוק ישמע
34	14	לא יטש צעקת יתום ואלמנה כי תרבה שיח
34	15	הלא דמעה על לחי תרד ואנחה על מרודיה
34	16	תמרורי רצון הניחה וצעקה ענן חשתה
34	17	שועת דל ענן חלפה ועד תגיע לא תנוח יז לא תמוש עד יפקוד אל ושופט צדק יעשה משפט
34	18	גם אל לא יתמהמה וכגבור יצא לא יתאפק יח עד ימחץ מתני אכזרי ולגוים ישיב נקם יח עד יוריש שבט זדון ומטה רשע גדוע יגדע
34	19	עד ישיב לאנוש פעלו וגמול אדם כמזימתו יט עד יריב ריב עמו ושמחם בישועתו
34	20	נאה חסד יהוה בזמן מצוקה כעב חזיזים בעת בצרת
35	1	הושיענו אלהי הכל והרם פחדך על כל הגוים
35	2	הרף על עם נכר ויראו את גבורתיך
35	3	כאשר נקדשת לעיניהם בנו כי לעינינו הכבד בנו
35	4	וידעו כאשר ידענו כי אין אלוהים זולתך
35	5	חדש אות ושנה מופת האדר יד ואמץ זרוע וימין
35	6	העיר אף ושפוך חמה והכניע צר והדוף אויב
35	7	החיש קץ ופקוד מועד כי מי יאמר לך מה תעשה
35	8	השבת ראש פאתי מואב האומר אין זולתי
35	9	אסוף כל שבטי יעקב ויתנחלו כימי קדם
35	10	רחם על עם נקרא בשמך ישראל בכור כניתה
35	11	רחם ע קרית קדשך ירושלים מכון שבתך
35	12	מלא ציון את הודך ומכבודך את היכלך
35	13	תן עדות למראש מעשיך והקם חזון דברק בשמך
35	14	תן את פעלת קויך ונביאיך יאמנו
35	15	תשמע תפלת עבדיך כרצונך על עמך
35	16	וידעו כל אפסי ארץ כי אתה אלהי עולם
35	17	כל מאכל אוכל גרגרת אך יש אכל מאכל נעים
35	18	כל מאכל תסגר בבטן אך יש מאכל ממאכל תנעם
35	19	כל זכר תקבל אשה אך איש יבחר עלמה
35	20	חך בוחן מטעמי דבר ולב מבין מטעמי כזב
35	21	לב עקוב יתן עצבת ואיש ותיק ישיבנה בו
35	22	כל נכה תאכל חיה אך יש מכה ממכה תנעם
35	23	תאר אשה יחליץ פנים ועל כל מחמד עין יגבר
35	24	ועוד אם יש מרפא לשון אין אישה מבני אדם
35	25	קנה אשה ראשית קנין עזר ומבצר ועמוד משען כה באין גדר יבער כרם ובאין אשה נע ונד
35	26	מי יאמין בגדוד צבא המדלג מעיר אל עיר
35	27	כן איש אשר לא קן המרגיע כאשר יערב
37	1	כל אוהב אומר אהבתי אך יש אהב שם אהב
37	2	הלא דין מגיע אל מות רע כנפשך נהפך לצר
37	3	הוי רע יאמר מדוע כן נוצרתי למלא פני תבל תרמית
37	4	מרע אוהב מביט אל שלחן ובעת מצוקה מנגד יעמד
37	5	אוהב טוב נלחם עם זר ונגד ערים יחזיק צנה
37	6	אל תשכח חבר בקרב ואל תעזבהן בשללך
37	7	כל יועץ יניף יד אך יש יועץ דרך אל לץ
37	8	כל יועץ אומר חזה אך יש יועץ דורך עליו
37	9	מיועץ שמור נפשך ודע לפנים מה צרכו
37	10	כי גם הוא לנפשך יחשב למה זה אליו יפול
37	11	ואמר לך מטוב דרכך וקם מנגד להביט רישך
37	12	אל תועץ עם חמיך וממקנא העלים סוד
37	13	עם אשה על צרתה ומרד אל מלחמתו
37	14	עם סוחר אל תתגר וממקנה על ממכר
37	15	עם איש רע על תגמול חסד ואכזרי על טוב בשר
37	16	פועל שוא על מלאכתו שומר שוא על מוציא רע
37	17	אך איש מפחד תמיד אשר תדע שומר מצוה
37	18	אך עם לבבו כלבבך אם תכשל יגיע אליו
37	19	וגם עצת לבב הבין מי יאמן לך אמן ממנו
37	20	לב אנוש יגיד שעיותיו משבעה צופים על מצפה
37	21	ועם כל אלה עתר אל אל אשר יכין באמת צעדיך
37	22	ראש כל מעשה דבר וראש כל פועל היא מחשבת
37	23	עקרת תחבולות לבב ארבעה שכמים יפרחו
37	24	טוב ורעה וחיים ומות ומושלת בם כליל לשון
37	25	יש חכם לרבים הוא נחכם ולנפשו הוא גואל
37	26	ויש חכם בדברו נמאס ומכל מאכל תענוג נבצר
37	27	ויש חכם לנפשו יחכם פרי דעתו על גויתו
37	28	ויש חכם לעמו יחכם פרי דעתו בגויתם
37	29	חיי איש מספר ימים וחיי עם ישראל ימי אין מספר
37	30	חכם לנפשו ישבע תענוג ויאשרוהו כל רואינו
37	31	חכם עם ינחל כבוד ושמו עומד בחיי עולם
37	32	בני בחייך גם נפשך ראה מה רע לה אל תתן לה
37	33	כי לא הכל לכל טוב לא כל נפש כל זן תבחר
37	34	אל תזרע לכל תענוג ואל תשפך על כל מטעמים
37	35	כי ברב תענוג יקנן חולי והמרבה יגיע אל זרא
37	36	בלא מוסר רבים יגועו ועועו והנשמר יוסיף חיים
38	1	רעי רופא לפני צרכו כי עם אותו חלק אל
38	2	מאת אל יחכם רופא ומאת מלך ישא משאות
38	3	דעת רופא תרים קרנו ולפני נדיבים יתיצב
38	4	אל מארץ מצוציא תרופות וגבר מבין אל ימאס בם
38	5	הלא בעץ המתיקו מים בעבור להודיע כל אנוש כחו
38	6	ויתן לאנוש בינה להתפאר בגבורתו
38	7	בהם רופא יניח מכאוב וכן רוקח עושה מרקחת
38	8	למען לא ישבות מעשהו ותושיה מבני אדם
38	9	בני בחולי על תתעבר התפלל אל אל כי הוא ירפא
38	10	נום מעול ומהכר פנים ומכל פשעים טהר לב
38	11	הגש ניחוח אזכרה ודשן ערוך בכנפי הוניך
38	12	וגם לרופא תן מקום ולא ימוש כי גם בו צורך
38	13	כי יש עתם אשר בידו מצלחת כי גם הוא אל אל יעתיר
38	14	אשר יצלח לו פשרה ורפאות למען מחיה
38	15	אשר חואט לפני עושהו יתנכר לפני רופא
38	16	בני על המת הזיב דמעה התמרר וגהה קינה
38	17	כמשפטו אסוף שארו ואל תתעלם בגויעתו יז המר בני והתם מספד ושית אבלו כיוצא בו יז יום ושנים בעבור דמעה הנחם בעבור עון
38	18	מדין יוצא אסון כן רע לבב יכלה עצבה
38	19	אל תשים אליו לב עוד פרע זכרו וזכור אחרית
38	20	זכור חקו כי הוא חקך לו אתמול ולך היום
38	21	אל תזכרנו כי אין לו תקוה מה תועיל ולך תרע
38	22	מושבת מתו שבת זכרו והנחם עם צאת נפשו
38	23	חכמת סופר תרבה חכמה וחסר עסק הוא יתחכם
38	24	מה יתחכם תומך מלמד ומתפאר בחתנית מסעיר
38	25	אלוף ינהג ישובב לשדד בשור ושעיותיו עם בני בקר
38	26	ושקידתו לכלות מרבק לב ישית לשדד בתלמים
38	27	אף עשה חרש וחשב אשר לילה כיום יגיע
39	14	הרימו קולכם וברכו יחדו והודו ליהוה על כל מעשיו
39	15	בשירות נבל וכלי מינים וכן תאמרו בתרועה
39	16	מעשי אל כלם טובים לכל צורך בעתו יספיק
39	17	בדברו יעריך כנד מים ובמוצא פיו אוצרו
39	18	תאות רצונו יצליח ואין מעצור לתשועתו
39	19	מעשה כל בשר נגדו ואין נסתר מנגד עיניו
39	20	מעולם ועד עולם יביט ואין נפלא וחזק ממנו
39	21	אין לאמר זה למה זה כי הכל בעתו יגבר
39	22	ברכות כיאור הציפה וכנהר תבל ריותה
39	23	כן זעמו גוים יוריש ויהפך למלח משקה
39	24	ארחות תמים יישרו כן לזרים יסתוללו
39	25	טוב לטוב חלק מראש כן לרעים טוב ורע
39	26	ראש לחיי אדם מים ואש וברזל ומלח כו חלב חטה חלב ודבש דם עינב יצהר ובגד
39	27	כל אלה לטובים ייטיבו כן לרעים לרעה נהפכו
39	28	יש רוחות למשפט נוצרו ובאפם הרים יעתיקו כח בעת זעם גבורתם יראו וסער מן שדה יעוררו
39	29	אש וברד רעב ודבר גם אלה למשפט נוצרו
39	30	חית שן עקרב ופתן וחרב נקמות להחרים רשעים ל כל אלה לצורכם נבראו והמה באוצר ולעת יפקדו
39	31	בצותו אתם ישישו ובחקם לא ימרו פיו
39	32	על כן מראש התיצבתי והתבוננתי ובכתב הנחתי
39	33	מעשה אל כלם טובים לכל צורך בעתו יספיק
39	34	אל לאמר זה רע מה זה כי הכל בעתו יגביר
39	35	עתה בכל לב הרנינו וברכו את שם הקדוש
40	1	עסק גדול חלק אל ועל כבד על בני אדם
40	2	מיום צאתו מרחם אמו עד יום שובו אל אם כל חי
40	3	מיושב כסא לגבה עד לשוב עפר ואפר
40	4	מעוטה צניף וציץ ועד עוטה שמלת עור
40	5	אך קנאה דאגה ופחד אימת מות תחרה ורב ה ועת נוחו על משכבו שינת לילה תשנה רעתו
40	6	מעט לריק כרגע ישקוט ומבין בהלות לבו נרעש ו מעט טע מחזיון נפשו כשריד בורח מפני רודף
40	7	עוד עורך מלחמה והקיץ ואימה אין ומצא מנוח
40	8	ועם כל בשר דאגתם עמם ועשרם מניד שנתם
40	9	דבר ודם חרחר וחרב שד ושבר רעה ומות
40	10	על רשע נבראה רעה ובעבור תמוש כלה
40	11	כל מארץ אל ארץ ישוב ואשר ממרום אל מרום
40	13	מחיל אל חיל כנחל איתן ומאפיק אדיר בחזיז קולות
40	14	עם עם שאתו כפים יגזלו כי פתאם לנצח יתם
40	15	נוצר מחמס לא ינקה כי שרש חנף על שן תלע
40	16	כקרדמות על מטעי נחל מפני כל מטר נדעכו
40	17	וחסד לעולם לא ימוט וצדקה לעד תכון
40	18	חיי יין ושכר ימתקו ומשניהם מוצא אוצר
40	19	ילד ועיר יעמידו שם ומשניהם מוצא חכמה יט שגר ונטע יפריחו שם ומשניהם אשה נחשקת
40	20	יין ושכר יעליצו לב ומשניהם אהבת דודים
40	21	חליל ונבל יעריבו שיר ומשניהם לשון ברה
40	22	יפי ותאר יחמידו עין ומשניהם צמחי שדה
40	23	עמית ורע לעת ינהגו ומשניהם אשה משכלת
40	24	אח ושותף לעת צרה ומשניהם צדק מצלת
40	25	זהב וכסף יעמידו רגל ומשניהם עצה טובה
40	26	חיל וכח יגדלו לב ומשניהם יראת אלהים כו אין ביראת אלהים מחסור ואין לבקש עמה משען
40	27	יראת אלהים כעדן ברכה ועל כל כבוד חפתה
40	28	חיי מכי מתן אל תחי טוב נאסף כמסתולל א כל ימי עני רעים בן סירא אומר אף לילות ב בשפל גנים גנו ובמרום הרים כרמו ג ממטר גנים לגנו ומעפר כרמו לכרמים
40	29	איש משגיח על שלחן זר אין חייו למנות חיים כט מעוג לנפש מטעמו לאיש יודע סוד מעים
40	30	לאיש עוז נפש תמתיק שאלה ובקרבו תבער כמו אש
41	1	חיים למות מה מר זכרך לאיש שוקט על מכונתו א איש שליו ומצליח בכל ועוד בו חיל לקבל תענוג
41	2	האח למות כי טוב חקיך לאיש אונים וחסר עצמה ב איש כושל ינקש בכל סורב ואובד תקוה
41	3	אל תפחד ממות חקיך זכור כי ראשנים ואחרנים עמך
41	4	זה חלק כל בזר מאל ומה תמאס בתורת עליון ד לאלף שנים מאה ועשר איש תוכחות בשאול חיים
41	5	נין נמאס דבר רעים ונכד אויל במגור רשע
41	6	מבן עול ממשלת רע וריש עם זרעו תמיד
41	7	אב רשע יקוב ילד כי בגללו לחרפה
41	8	אוי לכם אנשי רשע אשר עזבתם תורת עליון
41	9	אם תפרו על ידי אסון ואם תולידו לאנחה ט אם תכשלו לשמחת עולם ואם תמותו לקללה
41	10	כל מאפס אל אפס ישוב כן חנף מתהו אל תהו
41	11	הבל אדם בגויתו אך שם חסד לא יכרת
41	12	פחד על שם כי הוא ילוך מאלפי אוצרות חכמה
41	13	טובת חי ימי מספר וטובת שם ימי אין מספר
41	14	חכמה טמונה ואוצר מוסתר מה תועלה בשתיהם
41	15	טוב איש מצפין אולתו מאיש מצפין חכמתו מוסר בשת
41	16	מוסר בשת שמעו בנים והכלמו על משפטי טז לא כל בשת נאה לשמור ולא כל הכלם נבחר
41	17	בוש מאב ואם אל זנות מנשיא יושב אל כחש
41	18	מאדון וגברת על שקר מעדה ועם על פשע יח מחבר ורע על מעל וממקום תגור על זר
41	19	מהפר אלה וברית ממטה אציל אל לחם
41	20	ממנוע מתת שאלה מהשב אפי רעך
41	21	מהשבית מחלקת ומנה משואל שלום מהחריש כא מהביט אל פני זרה ומהתקרב אל שפחתה
41	22	מאוהב על דברי חרפה ומאחרי מתת אח מנאץ
41	23	משנות דבר תשמע ומחסוף כל סוד עצה
41	24	והיית בוש באמת ומצא חן בעיני כל חי
42	1	אך על אלה אל תבוש ואל תשא פנים וחטא
42	2	על תורת עליון וחוק ועל מצדיק להצדיק רשע
42	3	על חשבון חוכר ואדון ואורח ועל מחלקות נחלה ויש
42	4	ועל שחק מאזנים ופלס ועל תמחות איפה ואבן
42	5	על מקנה בין רב למעט ועל ממחיר ממכר תגר
42	6	על אשה רעה חותם חסם ומקום ידים רפות תפתח
42	7	על מקום תפקד יד תספור ומתת ולקח הכל בכתב
42	8	על מוסר פותה וכסיל ושב וישיש ונוטל עצה בזנות ח והיית זהיר באמת ואיש צנוע לפני כל חי
42	9	בת לאב מטמנת שקר דאגה תפריע שנתו ט בנעוריה פן תגור ובבתוליה פן לא תנשא
42	10	בבתוליה פן תפתה ובבית בעלה לא תשטה י בבית אביה פן תהרה ובבית אישה פן תעצר
42	11	בני על בתולתך החזק משמר פן תעשה לך שם סרה יא דבת עיר וקללת עם והושיבתך בעדר שער
42	12	מקום תגור אל יהי אשנב ובית מביט מבוא סביב יב לכל זכר אל תתן תאר ובית נשים אל תסתויד
42	13	כי מבגד יצא עש ומאשה רעת אשה
42	14	מטוב רוע איש מטוב אשה ובית מחרפת תביע באשה
42	15	אזכור נא מעשי אל וזה חזיתי ואספרה טו באומר אלהים רצונו ופועל רצונו לקחו
42	16	שמש זורחת על כל נגלתה וכבוד ה על כל מעשיו
42	17	לא הספיקו קדושי אל לספר נפלאות ה יז אמץ אלהים צבאיו להתחזק לפני כבודו
42	18	תהום ולב חקר ובכל מערומיהם יתבונן
42	19	מחוה חליפות נהיות ומגלה חקר נסתרות
42	20	לא נעדר ממנו כל שכל ולא חלפו כל דבר
42	21	גבורת חכמתו תכן אחד הוא מעולם כא לא נוסף ולא נאצל ולא צריך לכל מבין
42	22	הוא חי ועומד לעד זה על זה חלף טובו
42	23	ומי ישבע להביט תואר תואר מרום רקיע על טוהר
43	1	ועצם שמים מרבים הדרו ולכל צרך הכל ישמע א כלם שונים זה מזה ולא עשה מהם שיסוף
43	2	שמש מביע בצורתו וחמה מה נורא מעשי ה
43	3	בהצהירו ירתיח תבל לפני חרבו מי יתכלכל
43	4	כור נפוח מחם מצוק שולח שמש ידליק הרים ד לשאון מאור תגמר נושבת ומנורה תכוה עין
43	5	כי גדול ה עושהו ובדבריו ינצח אביריו
43	6	וגם ירח ירח עתות שבות ממשלת קץ ואות עולם
43	7	בם מועד וזמני חוק וחפץ עשיו בתקופתו
43	8	חדש בחדשו הוא מתחדש מה נורא בהשתנותו ח כלי צבא נבלי מרום מרצף רקיע מזהירתו
43	9	תואר שמים והדר כוכב ואורו מזהיר במרומי אל
